Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
CERVEZA SIN ALCOHOL;;45.608;51.328;43.68;45.189;46.785;41.138;44.935;48.065;49.213;45.358;46.043;39.202;45.038;49.321;45.255;47.333;36.31;47.966;49.659;50.064;42.111;44.103;46.958;54.286;45.364;43.272;40.65;36.528;48.064;45.081;45.344;44.79;47.131;29.611;43.643;48.066;51.963;51.358;42.033;54.441;36.88;44.146;2.0;VALOR
CERVEZA ARTESANALES;;2.565;3.822;2.597;2.717;2.786;1.122;2.307;4.985;2.877;3.363;1.682;6.693;3.28;2.588;1.286;1.948;1.653;2.974;3.057;2.812;3.27;2.07;3.384;3.297;1.121;1.251;1.887;0.344;1.815;2.436;2.655;2.542;2.79;2.226;6.166;4.987;2.806;1.555;4.162;2.772;1.75;1.277;2.0;VALOR
SIDRAS;;25.798;27.906;24.98;25.823;27.033;23.685;26.057;21.542;27.56;25.454;26.207;25.651;23.962;27.508;26.432;26.959;20.876;27.56;27.398;28.187;15.392;32.204;21.314;31.007;28.685;35.028;25.555;30.181;23.375;21.091;26.626;28.379;25.022;22.107;26.161;21.545;27.876;30.48;26.445;28.223;20.126;26.116;1.0;VALOR
SIDRAS SIN ALCOHOL;;2.287;2.553;2.481;2.359;2.532;1.813;2.269;2.365;2.541;2.356;2.257;1.523;1.88;2.85;2.365;2.606;2.541;2.322;2.35;2.497;1.167;3.559;2.003;2.718;2.493;5.085;1.006;1.748;0.568;2.188;2.162;2.681;2.999;0.423;2.826;2.366;2.514;2.122;1.421;2.85;3.156;2.598;2.0;VALOR
T.BEBIDAS ESPIRITUOSA;;43.878;45.432;44.267;46.237;44.355;39.435;45.031;36.195;44.833;42.573;45.569;44.302;39.453;49.678;44.278;47.044;34.708;48.266;47.738;45.991;44.351;42.833;50.626;40.558;41.486;46.672;41.789;36.73;43.856;46.87;45.206;40.896;42.457;32.205;43.583;36.2;47.622;56.104;43.723;51.407;32.592;44.982;1.0;VALOR
BRANDY;;10.526;11.451;9.331;10.919;10.914;9.825;12.013;2.755;6.587;7.719;13.704;5.556;5.548;11.682;15.643;13.615;8.074;13.57;11.499;8.915;15.529;11.489;7.593;7.963;7.885;15.35;9.896;4.343;11.57;10.972;10.773;9.156;11.36;7.502;5.787;2.756;9.416;13.164;5.961;15.771;5.006;15.645;2.0;VALOR
WHISKY;;10.049;10.852;10.012;11.06;10.647;7.986;10.365;8.197;10.896;9.293;11.088;10.019;9.058;12.111;10.287;11.219;6.59;11.667;11.683;10.779;11.166;9.354;12.56;10.289;8.741;9.607;6.351;7.358;11.256;10.866;10.118;10.271;8.57;4.578;8.127;8.199;11.816;14.019;7.704;14.538;7.205;10.492;2.0;VALOR
GINEBRA;;12.267;15.631;14.002;12.747;11.712;8.232;11.986;12.628;15.4;14.66;9.68;12.55;13.625;15.6;7.717;11.662;7.021;13.071;14.813;15.464;11.216;13.076;16.484;12.956;11.753;9.338;9.11;8.069;13.275;15.4;11.638;12.191;11.123;9.812;14.102;12.633;16.802;19.297;14.722;14.786;7.325;7.768;2.0;VALOR
RON;;8.989;12.051;7.42;8.816;9.589;7.046;8.829;8.978;10.705;9.741;8.168;12.638;10.21;9.778;6.982;8.381;5.749;8.815;10.66;11.76;6.696;8.939;13.475;9.394;9.925;6.179;7.42;9.901;9.983;9.886;8.892;9.301;8.083;6.921;11.448;8.981;12.01;14.728;10.001;9.484;5.149;6.916;2.0;VALOR
ANIS;;6.893;4.916;4.333;7.793;7.224;9.257;7.742;2.464;4.705;4.554;9.566;1.541;3.416;7.139;11.259;9.152;6.806;8.256;6.616;5.599;5.885;6.188;10.699;4.324;6.034;14.736;4.252;4.191;8.952;9.797;6.989;5.56;5.494;1.013;4.575;2.466;4.739;9.701;4.796;7.8;4.588;11.534;2.0;VALOR
