Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
LOMO E.I.ENVASADO;;52791.184;5664.76118;438.38854200000003;1611.66146;2927.9588;795.699159;12009.994999999999;12517.8975;2071.547375;3488.8463;2514.978638;1565.3706200000001;1642.0293419999998;223.928852;3723.6980200000003;66.49081;354.80235400000004;1173.12929;5.0;VALOR
OTRAS SALAZONES;;128836.076;21755.785999999996;5101.279300000001;3113.7232;14221.638799999999;4010.4206;17348.209;16815.516000000003;10557.783199999998;3371.2398000000003;8843.317200000001;8619.794;2630.1530000000002;1221.90883;5724.1524;972.0579600000001;1930.1931200000001;2598.91269;3.0;VALOR
O.SALAZONES AL COR;;56399.469000000005;6715.5363;2686.3402899999996;1391.78442;5229.724999999999;2078.1131299999997;7653.296000000001;7522.4757;5813.3985;1608.7988900000003;5690.766599999999;3951.0181000000002;823.186832;276.080096;2328.96235;402.384927;961.4437669999999;1266.15651;4.0;VALOR
O.SALAZONES ENVASA;;72436.617;15040.249699999997;2414.9392000000003;1721.9389099999999;8991.9134;1932.30769;9694.913500000002;9293.038099999998;4744.385200000001;1762.44092;3152.5505999999996;4668.775299999999;1806.9659100000001;945.8286599999999;3395.1901;569.6730900000001;968.7492199999999;1332.756044;4.0;VALOR
TOCINO Y MANTECA;;137196.061;25827.128000000004;3473.3729;4385.709000000001;19266.863;6251.537299999999;24919.378999999997;19044.309;5255.7757;4114.2776;4558.322;4747.8944;2448.59971;1725.33048;4051.2585999999997;505.57992;1810.05089;4810.6651;3.0;VALOR
TOCINO;;13097.6281;1994.7957600000002;351.231469;264.46748199999996;659.6798630000001;844.051251;3388.6168999999995;1351.26078;747.534138;328.17001500000003;569.679281;1163.16226;521.7162999999999;71.810148;461.58665900000005;103.173225;153.20463900000001;123.488429;4.0;VALOR
CHORIZOS;;431459.36;51588.06799999999;11228.0681;5971.692099999999;35428.473;11077.0361;61425.238000000005;58628.83899999999;20549.086000000003;8193.6355;41308.303;39263.219;16241.141999999998;6592.423999999999;40961.838;5208.6196;5238.515799999999;12555.183899999998;3.0;VALOR
CHOR.IBERICO;;69817.15999999999;11835.061200000002;1016.1958;1477.3423;5521.6153;1817.6435200000003;11017.7173;12650.407000000001;3349.6551;2353.9888;5052.5987000000005;3462.9263000000005;1536.99961;547.41683;5756.1867;568.7207599999999;282.04440400000004;1570.64086;4.0;VALOR
CHOR.NORMAL;;361642.22;39753.00399999999;10211.8727;4494.349700000001;29906.857999999997;9259.392500000002;50407.52;45978.43400000001;17199.4294;5839.6466;36255.702000000005;35800.293;14704.143400000003;6045.0074;35205.652;4639.8987;4956.4713;10984.5433;4.0;VALOR
CHORIZO DE PAVO;;8435.862900000002;1575.09976;175.795795;154.151058;1203.92251;130.55821900000004;2390.1707;631.45555;277.84919;105.351759;347.98704299999997;404.01851000000005;54.313278000000004;9.341855;242.40660200000002;59.814997;233.501141;440.125148;4.0;VALOR
CHORIZO DE CERDO;;414426.32999999996;49642.240000000005;10881.930599999998;5813.756899999999;33600.291000000005;10879.0708;58448.222;56964.83900000001;20130.953;8005.044599999999;37000.543;38580.29;15607.66;6531.1245;40579.334;5123.877200000001;4999.626899999999;11637.552300000001;4.0;VALOR
SALCHICHON/SALAMI;;203155.64;19448.96;4939.096699999999;3271.6733;22301.332000000002;9826.8732;55180.254;23193.653;11420.4112;6509.6176000000005;14093.055600000003;8974.198999999999;3907.2279000000003;1072.5626000000002;7163.222099999999;2041.5886999999998;1104.9290700000001;8706.987200000001;3.0;VALOR
SALCHICHON DE PAVO;;9548.234;940.1767400000001;223.482046;181.85176100000004;1578.77532;339.848445;3649.9737;856.63203;387.21841099999995;52.309855;378.366178;250.757493;112.452362;15.953617;144.74892499999999;86.13422800000001;89.32874000000001;260.22424;4.0;VALOR
SALCHICHON DE CERD;;191872.69000000003;18424.524999999998;4676.1684000000005;3086.7989000000002;20379.023;9400.421100000001;51257.66299999999;22212.891999999996;10886.3025;6444.6831;13412.261299999998;8607.530900000002;3794.7757;1018.27972;6963.4774;1950.4618;975.92598;8381.5044;4.0;VALOR
FUET/LONGANIZAS;;343891.23;106224.63700000002;13308.173799999999;5386.0617;45943.142;15867.425;45657.02999999999;36877.810000000005;15713.402999999998;5670.010099999999;13830.405099999998;11233.118299999998;4241.281599999999;2175.795;10900.108000000002;3055.5556;2866.5713;4940.7216;3.0;VALOR
FUET/LONGANIZ.PAVO;;17004.888;6312.7909;724.4384699999999;209.61144999999996;1590.1270200000001;386.06728000000004;3049.1952;1448.7253399999997;872.4116200000001;272.46007199999997;324.16036699999995;282.350189;74.02182200000001;31.039211;641.85385;37.82472;395.85781199999997;351.953876;4.0;VALOR
FUET/LONGANIZ.CERD;;322652.26;99467.39199999999;12280.690899999998;5049.8016;43745.785;15276.023099999999;41863.96200000001;34966.99;14459.5513;5258.691500000001;13339.706800000002;10774.791099999999;4088.7693999999997;2121.1693;10191.587000000001;2954.1087;2435.91296;4377.337300000001;4.0;VALOR
