Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
PESCADOS ECO. .;;19.319;19.742;13.437;15.875;18.989;30.572;22.921;17.34;21.845;23.733;20.735;25.033;23.101;22.263;20.316;20.48;18.819;6.088;2.0;VALOR
MARISC/MOLS/CRS ECO.;;14.536;15.205;15.858;9.335;13.602;12.115;16.842;13.358;18.339;19.857;17.728;19.053;17.375;34.687;12.002;17.679;11.558;6.331;2.0;VALOR
CONS.PSCD/MOLUS.ECO.;;10.347;13.737;7.635;8.784;6.495;13.051;11.081;11.421;6.466;13.865;11.873;9.508;8.36;8.561;12.675;4.341;9.618;7.039;2.0;VALOR
T.LECHE LIQUIDA ECO.;;4.244;7.224;1.906;4.197;4.781;9.396;2.439;3.992;2.775;1.766;2.944;3.125;4.961;10.198;3.821;8.626;1.635;4.761;1.0;VALOR
LECHES FERMENTDS.ECO.;;12.567;16.848;8.764;20.935;9.691;11.097;9.415;12.889;5.797;5.631;9.203;19.316;11.171;14.673;17.706;11.249;10.084;15.532;1.0;VALOR
QUESO ECO.;;18.988;21.871;23.37;18.901;14.826;20.585;19.241;21.529;19.307;21.614;18.881;21.18;23.438;20.662;18.072;19.199;23.342;8.03;1.0;VALOR
PAN FRESCO/CONG.ECO.;;49.135;52.767;51.44;43.282;50.356;52.094;53.1;47.35;50.28;51.251;49.32;52.356;58.188;39.988;52.199;35.898;39.2;31.115;1.0;VALOR
BOLL/PAST.GALL. ECO.;;27.751;32.888;30.113;31.867;27.306;30.766;24.94;26.292;24.589;22.054;25.458;28.084;25.458;34.794;35.033;28.911;24.926;23.737;1.0;VALOR
ARROZ ECO.;;2.503;3.452;7.841;1.25;2.094;4.77;1.47;2.884;0.635;0.42;1.809;2.907;0.421;4.746;2.733;0.0;7.588;1.36;1.0;VALOR
TOTAL PASTAS ECO.;;10.539;13.974;8.878;12.402;13.748;12.788;7.936;10.054;5.399;4.94;5.766;9.861;7.393;16.516;16.827;7.919;9.007;10.684;1.0;VALOR
LEGUMBRES ECO.;;6.435;9.808;3.718;5.628;4.761;6.912;5.785;6.24;5.035;5.645;4.729;5.486;6.176;24.596;11.089;6.682;11.638;2.837;1.0;VALOR
TOTAL ACEITE ECO.;;9.213;10.772;7.493;10.013;7.278;7.832;9.461;11.085;10.231;7.099;7.975;9.091;5.297;9.051;10.958;8.001;9.353;11.57;1.0;VALOR
TOTAL VINOS ECO.;;6.091;13.538;3.889;10.964;7.892;10.014;5.223;3.058;6.66;1.634;4.359;4.819;4.05;2.095;3.023;3.353;2.235;3.873;1.0;VALOR
